"",1,1,330,2,186,3,1,1,0,0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,533,0
"",2,2,205,6,138,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,358,0,358,0
"",3,3,279,102,206,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,2,0,1,1,1,0,1,0,0,1,0,0,0,3,4,0,0,1,0,1,1,1,611,0,611,0
"",4,4,108,3,114,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,229,0,229,0
"",5,5,198,3,174,2,0,1,0,0,0,1,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,389,0,389,0
"",6,6,234,12,222,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,2,0,0,0,1,483,0,483,0
"",7,7,255,6,245,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,515,0,515,0
"",8,8,297,92,128,0,1,1,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0,0,1,0,0,0,2,0,0,1,0,3,1,0,0,0,0,0,0,1,536,0,536,0
"",9,9,249,5,97,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,359,0,359,0
"",10,10,161,102,86,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,1,1,0,0,0,0,0,364,0,364,0
"",11,11,418,51,132,3,0,0,0,0,0,0,0,2,1,0,0,2,4,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,620,0,620,0
"",12,12,142,2,58,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,209,0,209,0
"",13,13,278,6,88,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,384,0,384,0
"",14,14,222,0,87,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,321,0,321,0
"",15,15,237,4,168,1,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,423,0,423,0
"",16,16,476,3,357,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,847,0,847,0
"",17,17,245,8,119,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,1,1,0,0,3,2,0,0,2,1,0,0,390,0,390,0
"",18,17A,211,11,93,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,1,1,0,0,1,0,0,329,0,329,0
"",19,18,321,21,122,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,479,0,479,0
"",20,18A,279,2,62,1,0,0,0,0,0,1,0,1,0,0,1,2,0,1,1,0,1,0,0,2,1,0,1,0,0,0,1,3,1,1,0,0,0,1,0,0,363,0,363,0
