110,2,305,1,86,380,0,0,0,774,0,6,0
111,1,360,1,62,388,0,0,0,812,0,2,0
112,0,282,0,41,323,1,0,1,648,0,3,0
113,0,305,0,37,315,1,0,0,658,0,3,0
114,2,435,1,57,397,0,0,3,895,0,5,0
115,1,214,1,36,237,1,0,1,491,0,3,0
116,1,397,2,33,238,1,0,0,672,0,7,0
117,2,260,0,73,262,3,0,1,601,0,12,0
119,1,405,1,47,291,2,0,1,748,0,5,0
120,0,269,0,22,186,1,0,1,479,0,2,0
121,0,268,1,16,152,0,0,0,437,0,5,0
122,3,295,0,23,184,3,0,1,509,0,3,0
123,2,454,1,36,264,2,0,3,762,0,11,0
124,0,400,0,28,210,2,1,1,642,0,5,0
125,0,415,1,41,218,1,0,1,677,0,6,0
126,3,591,0,63,314,1,0,1,973,0,7,0
127,1,385,2,42,264,0,0,1,695,0,3,0
128,2,189,0,60,354,2,0,2,609,0,1,0
129,14,246,1,55,509,2,0,2,829,0,2,0
130,4,83,1,61,435,2,1,3,590,0,2,0
131,3,172,0,50,328,3,0,0,556,0,0,0
132,2,234,0,62,428,2,0,4,732,0,3,0
133,2,291,2,47,491,3,1,1,838,0,2,0
134,1,224,0,56,394,2,0,1,678,0,2,0
135,6,241,0,58,485,1,0,2,793,0,5,0
136,2,239,0,38,426,6,0,1,712,0,1,0
137,1,90,0,21,177,1,0,3,293,0,1,0
138,6,159,0,38,426,1,1,2,633,0,2,0
139,0,225,1,47,330,0,1,4,608,0,1,0
140,2,240,1,63,360,2,0,1,669,0,1,0
141,2,200,0,57,375,1,0,4,639,0,0,0
142,1,138,2,61,399,3,0,1,605,0,4,0
143,5,216,0,40,249,3,0,1,514,0,1,0
144,0,256,1,41,325,1,0,0,624,0,2,0
145,1,135,0,27,260,1,0,0,424,0,3,0
146,5,154,2,62,259,0,0,0,482,0,1,0
147,0,325,0,33,253,0,0,1,612,0,3,0
148,0,251,0,25,231,0,0,0,507,0,3,0
149,1,375,1,29,251,3,0,0,660,0,5,0
150,0,331,0,57,213,0,0,1,602,0,3,0
151,3,406,0,52,303,3,1,0,768,0,2,0
152,0,391,0,54,242,4,0,0,691,0,3,0
154,1,372,0,42,248,2,0,1,666,0,3,0
155,0,205,0,18,149,0,1,3,376,0,2,0
156,1,333,4,44,374,2,0,1,759,0,4,0
Total Votes,236,432902,115,6072,57430,238,75,228,107296,0,439,4
