129,328,9,281,3,185,1,807,0,5,0
130,174,3,250,2,130,2,561,0,2,0
131,176,1,146,0,166,0,489,0,2,0
132,155,5,180,3,289,3,635,0,4,0
133,219,3,148,3,299,1,673,0,7,0
134,136,3,196,2,234,1,572,0,3,0
135,194,10,174,0,281,0,659,0,4,0
136,239,3,174,3,245,2,666,0,2,0
137,102,3,67,0,111,1,284,0,1,0
138,258,8,131,1,167,0,565,0,5,0
139,149,2,192,2,178,2,525,0,1,0
140,211,3,216,3,226,1,660,0,2,0
141,242,3,170,1,167,2,585,0,4,0
142,186,2,241,3,157,1,590,0,0,0
143,144,8,109,1,234,0,496,0,4,0
144,190,1,164,1,243,1,600,0,5,0
145,128,0,107,3,174,0,412,0,4,0
146,95,4,169,3,180,1,452,0,2,0
147,163,0,107,1,269,1,541,0,5,1
148,141,1,86,1,211,0,440,0,2,0
150,171,0,150,2,234,2,559,0,2,0
151,237,0,163,3,294,0,697,0,6,0
152,260,1,135,1,240,2,639,0,4,0
153,80,0,50,1,126,0,257,0,2,0
154,203,0,132,2,285,2,624,0,4,0
155,127,1,63,1,179,0,371,0,3,0
156,208,6,166,1,314,2,697,0,5,0
"Total No. ofvotes recordedat PollingStations.",29897,900,19641,425,42924,426,94213,0,636,2
"No. of votesrecorded onpostal ballotpapers.",108,12,73,1,173,1,368,41,3,0
"(To be filled inthe case ofelection from anAssemblyconstituency)",,,,,,,,,,
